id,bathrooms,bedrooms,square_feet,cityname,state,latitude,longitude,price,has_photo_No,has_photo_Thumbnail,has_photo_Yes,price_type_Monthly,price_type_Weekly,pets_allowed_Cats,pets_allowed_Cats_Dogs,pets_allowed_Dogs,amenities_Washer_Dryer,amenities_Hot_Tub,amenities_Fireplace,amenities_Garbage_Disposal,amenities_Storage,amenities_Wood_Floors,amenities_Alarm,amenities_Parking,amenities_Clubhouse,amenities_Tennis,amenities_View,amenities_Cable_or_Satellite,amenities_Gym,amenities_Dishwasher,amenities_Refrigerator,amenities_AC,amenities_Internet_Access,amenities_Basketball,amenities_Gated,amenities_TV,amenities_Golf,amenities_Elevator,amenities_Luxury,amenities_Patio_Deck,amenities_Doorman,amenities_Pool,amenities_Playground
4032,1.0,1.0,840.0,1151.7142857142858,1609.6573604060914,38.8168,-76.9368,1235.0,True,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9339,1.0,2.0,616.0,751.8770559240453,1057.4478873239436,41.6515,-83.5087,615.0,False,False,True,True,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6886,1.0,1.0,624.182309686216,859.0,1195.9206106870229,30.5118,-97.6873,859.0,False,True,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5653,2.048216719895335,2.0,937.0,2320.4166666666665,1607.423452255845,39.9902,-105.2259,2750.0,False,True,False,True,False,False,True,False,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9914,2.0,2.0,1084.1311400410311,1697.0416666666667,1804.9170305676855,47.4608,-122.2095,1765.0,False,True,False,True,False,False,False,False,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9583,1.0,1.0,796.0,1617.5479452054794,1524.6225165562914,39.6767,-104.8854,1349.0,False,False,True,False,False,False,False,False,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0
5825,1.0392472784523397,1.0,755.965981838445,1307.764705882353,1057.4478873239436,40.783,-81.3597,1045.0,False,False,True,True,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4010,2.0,2.0,925.0,1112.6833333333334,1533.8799380398546,38.9577,-104.7566,1542.0,False,False,True,False,False,False,False,False,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4539,2.0,3.0,1137.0,1119.0,1408.9510839188206,29.5364,-81.2274,1119.0,False,True,False,True,False,False,False,False,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
3931,1.0,1.0415328834841562,738.0,1617.5479452054794,1524.6225165562914,39.7059,-104.9605,1467.0,False,False,True,True,False,False,False,False,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0
